project_name,proponent,region,province,municipalities,project_type,power_mw,status,source,url,updated_at
"PROGETTO DELL'IMPIANTO AGRIVOLTAICO AVANZATO E DELLE RELATIVE OPERE DI CONNESSIONE DA REALIZZARE NEL COMUNE DI VALLERMOSA e VILLASOR (CA) CON POTENZA PARI A 44MW E INTEGRATO CON SISTEMA DI ACCUMULO DA 28MW PER UNA POTENZA TOTALE IN IMMISSIONE DI 72MW. DENOMINAZIONE IMPIANTO ""19187 - VALLERMOSA"".",LUCE VALLERMOSA SRL,Sardegna,CA,"VALLERMOSA, VILLASOR",Valutazione Impatto Ambientale (PNIEC-PNRR),44.0,Valutazione Impatto Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11933,2026-04-26T15:20:04.736414
"REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO DENOMINATO “ENNA 1”, DI POTENZA COMPLESSIVA 40,656 MWP POSIZIONATO A TERRA, SITO IN CONTRADA PIETRAPESCE SNC COMUNE DI AIDONE (EN)",MAG SICILIA SRL (GIà ASI A SRL),Sicilia,EN,"AIDONE, DI AIDONE",V.I.A. (art.23 - 27bis),40.656,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1004&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.369869
IMPIANTO FV MEZZALUNA,LENERGIE RINNOVABILI SRL,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1024&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.376834
"REALIZZAZIONE DI IMPIANTO AGRO-FOTOVOLTAICO DENOMINATO “BOMMACCHIA”, DI POTENZA NOMINALE E DI PICCO PARI A 21,09888 MW CON TRACKER AD INSEGUIMENTO MONOASSIALE, SITO NEL COMUNE DI SCICLI (RG) - CONTRADA BOMMACCHIA SNC.",BAS ITALY TERZA S.R.L.,Sicilia,RG,"SCICLI, DI SCICLI",V.I.A. (art.23 - 27bis),21.09888,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1029&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.378613
"PROGETTO PER LA REALIZZAZIONE DI UN IMPIANTO FOTOVOLTAICO DI POTENZA DC PARI A 11,294 MWP (9,6 MW AC IN IMMISSIONE) E DELLE RELATIVE OPERE DI CONNESSIONE ALLA RETE DI DISTRIBUZIONE DI MEDIA TENSIONE, SITI IN CONTRADA PIANETTA NEL COMUNE DI MELILLI (SR)",BLUSOLAR MELILLI 2 S.R.L.,Sicilia,SR,"MELILLI, DI MELILLI",V.I.A. (art.23 - 27bis),11.294,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1034&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.383230
Impianto FER agrivoltaico - Comune di Oria (BR) - 25.47 MW,,Puglia,BR,Oria,Puglia VIA FER - agrivoltaico,25.47,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.673278
"Progetto di un impianto agrivoltaico denominato ""Impianto agrivoltaico Masseria Scianne"", con una potenza di 30,722MW e delle relative opere di connessione alla RTN, da realizzarsi nel comune di Nardò (LE)",SUNCO SUN YELLOW S.r.l.,Puglia,LE,NARDÒ,Agrivoltaico,30.722,,mase,https://va.mite.gov.it/it-IT/Oggetti/Info/10776,2026-04-26T15:20:04.738772
IMPIANTO FV SCALABRINO - EN768,SOLAER CLEAN ENERGY ITALY 10 SRL,Sicilia,,,Verifica di Assoggettabilita a VIA (art.19),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1172&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.265963
"Determinazione n° G17943 del 24/12/2024 Favorevole con prescrizioni Impianto Agrivoltaico “Cisterna Agrosolare” della potenza elettrica installata di 11.839 kWp e della potenza elettrica netta immessa in rete di 11.275 kW, con associato sistema di accumulo da 10 MVA Determinazione P.A.U.R. n. G07004 del 04/06/2025 (",ICA ELF SRL,Lazio,Latina,Cisterna di Latina,VIA,11.839,positivo,lazio,https://regionelazio.app.box.com/v/VIA-098-2023,2026-04-26T15:17:39.395917
"Progetto agrivoltaico Stornara 1 della potenza complessiva di 48,278 MWp, incluso opere ed infrastrutture strettamente necessarie da realizzare nel comune di Stornara (FG) in località ""Contessa"", nonché opere di connessione da realizzare nel comune di ""Stornara"" (FG) in località ""Posta di Torre""",Enel Stornara 1 S.r.l.,Puglia,FG,STORNARA,Valutazione Impatto Ambientale,48.278,Valutazione Impatto Ambientale,mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8014,2026-04-26T15:20:04.746080
"Costruzione ed Esercizio di un Impianto Fotovoltaico a Terra Frassineto PV della potenza nominale di 12.312,3 KWp (potenza complessiva DC) e relative opere di connessione alla RNT E-distribuzione in Via Corniole, snc",Frassineto PV srl,Lazio,Viterbo,Graffignano,VIA,12.3123,,lazio,https://regionelazio.app.box.com/v/VIA-063-2023,2026-04-26T15:17:39.402684
"Variante opere di connessione relativa al Progetto (ID 9217) Impianto agrivoltaico denominato ""San Severo 96.2"" - Valutazione preliminare ai sensi dell'art.6, c.9 e c.9 bis) del D.Lgs. 152/2006 - modifica al tracciato delle opere di connessione",Apollo San Severo S.r.l.,Puglia,TA,"TARANTO, FOGGIA",Agrivoltaico,,,mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11908,2026-04-26T15:20:04.747689
"Progetto di un impianto agrivoltaico denominato ""GPOS1 WEDO"" della potenza di 98,885 MWp e delle relative opere di connessione alla RTN da da realizzarsi nel Comune di Apricena (FG).",Apricena FV S.r.l.,Puglia,FG,APRICENA,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),98.885,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11903,2026-04-26T15:20:04.749270
"Progetto di un parco Agrivoltaico, denominato ""Pimpisu"", della potenza pari a 38,79 MW con sistema di accumulo (BESS) integrato con potenza complessiva di 17 MW, da realizzarsi nel Comune di Serramanna (VS)",Sardinia Agro Solar Energy S.r.l.,Puglia,TA,SERRAMANNA,Verifica di Ottemperanza (PNIEC-PNRR),38.79,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8810,2026-04-26T15:20:04.750869
"Progetto di un impianto agro-energetico integrato fotovoltaico-olivicolo con sistema di accumulo, denominato ""Cerro"", della potenza nominale di 46,078 MWp, e delle relative opere di connessione alla RTN, da realizzarsi nel comune di San Paolo di Civitate (FG).",Falck Renewables Sviluppo S.r.l.,Puglia,FG,SAN PAOLO DI CIVITATE,Verifica di Ottemperanza (PNIEC-PNRR),46.078,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8432,2026-04-26T15:20:04.756541
"Progetto di un impianto agro-fotovoltaico denominato ""Spiriti-Raso"" da 79,21 MWp (65,00 MW in immissione) con opere connesse ed infrastrutture indispensabili per la connessione alla Rete di Trasmissione Nazionale, da realizzarsi nei comuni di Ramacca (CT) e Belpasso (CT)""",Greendream1 srl,Sicilia,CT,RAMACCA,Verifica di Ottemperanza (PNIEC-PNRR),79.21,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8017,2026-04-26T15:20:04.758984
"Progetto di un impianto agrivoltaico da 17 MWp denominato ""sa Uppere"" e delle relative opere di connessione alla RTN, da realizzarsi nel comune di Ozieri (SS)",FISANUGREEN S.R.L,Sardegna,SS,OZIERI,Valutazione Impatto Ambientale (PNIEC-PNRR),17.0,Valutazione Impatto Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11848,2026-04-26T15:20:04.760599
"Progetto di un impianto agrivoltaico denominato ""Marchesa"", di potenza pari a 63,568 MW e delle relative opere di connessione alla RTN, da realizzarsi nel Comune di Monreale (PA).",Luce della Marchesa S.r.l.,Sicilia,PA,MONREALE,Valutazione Impatto Ambientale (PNIEC-PNRR),63.568,Valutazione Impatto Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11839,2026-04-26T15:20:04.763717
"IMPIANTO FOTOVOLTAICO AD INSEGUITORI MONOASSIALI CON SISTEMA DI ACCUMULO (ENERGY STORAGE SYSTEM), SITO NEL COMUNE DI SANTA CROCE CAMERINA (RG) IN LOCALITÀ C.DA PIANO SPINAZZA, COSTITUITO DA N°3 LOTTI DI IMPIANTO PER UNA POTENZA NOMINALE DI 3 X 4.711,28 KW",NEXTPOWER DEVELOPMENT ITALIA S.R.L.,Sicilia,RG,"SANTA CROCE CAMERINA, DI SANTA CROCE CAMERINA",V.I.A. (art.23 - 27bis),4.71128,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1044&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.388386
"IMPIANTO AGRO-FOTOVOLTAICO DA 4,677 MWP DENOMINATO ANTALBO",SICILY SUN ONE SRL,Sicilia,,,V.I.A. (art.23 - 27bis),4.677,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1050&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.393194
Impianto FER agrivoltaico - Comune di Mesagne (BR) - 23.49 MW,,Puglia,BR,Mesagne,Puglia VIA FER - agrivoltaico,23.49,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.683239
Impianto FER agrivoltaico - Comune di Guagnano (LE BR) - 13.58 MW,,Puglia,LE BR,Guagnano,Puglia VIA FER - agrivoltaico,13.58,Aperto,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.687843
Impianto FER agrivoltaico - Comune di Brindisi (BR) - 11.22 MW,,Puglia,BR,Brindisi,Puglia VIA FER - agrivoltaico,11.22,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.836288
"REALIZZAZIONE DI UN IMPIANTO AGRO-FOTOVOLTAICO DA 62,475 MWP E RELATIVE OPERE DI CONNESSIONE DA INSTALLARE NELLE C.DE GALIA-VILLAFRANCA-BALLARONZA PRESSO IL COMUNE DI CIMINNA (PA)",REPOWER RENEWABLE SPA,Sicilia,PA,"CIMINNA, DI CIMINNA",V.I.A. (art.23 - 27bis),62.475,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1051&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.394689
Costruzione impianto FV denominato Cerveteri I 2023 Determinazione n.G15876 del 28/11/2023 Rinviata alla procedura di Via,MENINAS SRL,Lazio,Roma,Cerveteri,VERIFICA,,,lazio,https://regionelazio.app.box.com/v/VIA-082-2023,2026-04-26T15:17:39.408524
"Determinazione n° G05267 del 06/05/2024 Rinviato alla procedura di Via REALIZZAZIONE DI UN IMPIANTO AGRIVOLTAICO PER LA PRODUZIONE DI ENERGIA ELETTRICA, DELLE OPERE CONNESSE E DELLE INFRASTRUTTURE INDISPENSABILI • Determinazione n° G15672 del 23/11/2023 Escluso dal procedimento di Via con prescrizioni",ENERGIA ECOSOSTENIBILE S.R.L.,Lazio,Frosinone,Piedimonte San Germano,VERIFICA,,,lazio,https://regionelazio.app.box.com/v/VIA-070-2023,2026-04-26T15:17:39.415178
"Realizzazione di un impianto agrivoltaico della potenza di picco pari a 9.989,3 kWp e potenza in immissione pari 9.950,4 kW in località Piano dei Dolci Determinazione n. G06525 del 15/05/2023 Favorevole con prescrizioni Provvedimento Autorizzatorio Unico Regionale n° 14316 del 30/10/2023",STN6 SRL,Lazio,Viterbo,Montefiascone,VIA,9.9893,positivo,lazio,"https://regionelazio.box.com,SSL+VIA-034-2022",2026-04-26T15:17:39.462756
"Progetto di un impianto agrivoltaico denominato ""IMPIANTO AGROVOLTAICO AVANZATO AGIRA RWE"", di potenza pari a 72,83 MW e delle relative opere di connessione alla RTN, da realizzarsi nei Comuni di Agira, Assoro e Enna (EN).",RWE Renewables Italia S.r.l.,Sicilia,EN,"AGIRA, ASSORO, ENNA",Valutazione Impatto Ambientale (PNIEC-PNRR),72.83,Valutazione Impatto Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11825,2026-04-26T15:20:04.766789
"Progetto di un impianto agrovoltaico, denominato ""FV Piana degli Albanesi"", della potenza di 46,20 MW, da realizzarsi nel Comune di Piana degli Albanesi (PA), in località Jencheria, e delle relative opere di connessione alla RTN, ricadenti anche nel Comune di Monreale (PA).",Piana degli Albanesi S.r.l.,Sicilia,PA,"PIANA DEGLI ALBANESI, MONREALE",Verifica di Ottemperanza (PNIEC-PNRR),46.2,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8402,2026-04-26T15:20:04.772049
"COSTRUZIONE ED ESERCIZIO DI UN IMPIANTO FOTOVOLTAICO DELLA POTENZA DI 3,762 MWp DA REALIZZARSI IN VIA DEI MONTI LEPINI S.N.C, CON LE RELATIVE OPERE DI CONNESSIONE ELETTRICHE DENOMINATO LEPINI Determinazione n. 13733 del 19/10/2023 - Favorevole con prescrizioni Determinazione n. G01780 del 21/02/2024 - Provvedimento Autorizzatorio Unico Regionale",MP SOLAR 1 SRL,Lazio,Latina,Latina,VIA,3.762,positivo,lazio,https://regionelazio.app.box.com/v/VIA-023-2022,2026-04-26T15:17:39.464359
"Provvedimento Autorizzatorio Unico Regionale n° G07306 del 10/06/2025 Determinazione n° G17953 del 24/12/2024 Favorevole con prescrizioni Intervento di costruzione di un impianto fotovoltaico a terra connesso alla rete elettrica di distribuzione, con potenza in DC. 3.899,40 e 2.935,00 in AC in loc. Mandolineto",Daylights,Lazio,Viterbo,Viterbo,VIA,,positivo,lazio,https://regionelazio.app.box.com/v/VIA-013-2022,2026-04-26T15:17:39.465796
Impianto FER agrivoltaico - Comune di Avetrana (TA BR) - 15.57 MW,,Puglia,TA BR,Avetrana,Puglia VIA FER - agrivoltaico,15.57,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.837815
"PROGETTO PER LA REALIZZAZIONE DI UN IMPIANTO FOTOVOLTAICO DELLA POTENZA DI CIRCA 38,19 MWP, ED ANNESSO SISTEMA DI ACCUMULO, DENOMINATO \SIBER\""""",SONNEDIX SAN PAOLO SRL,Sicilia,,,V.I.A. (art.23 - 27bis),38.19,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1115&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.400854
"Impianto agrivoltaico per la produzione di energia elettrica ubicato in loc. Via Tor Tre Ponti della potenza nominale di 6463,80 kW Determinazione n°G11176 del 19/08/2022 Escluso dalla procedura di VIA con prescrizioni",ENSOURCE RENEWABLES SRL,Lazio,Latina,Latina,VERIFICA,6.4638,,lazio,https://regionelazio.box.com/v/VIA-049-2022,2026-04-26T15:17:39.469591
"Progetto di un impianto agrivoltaico di potenza nominale complessiva 13,336 MW sito nel comuni di Bicinicco (UD) e Santa Maria La Longa (UD), e delle relative opere di rete ricadenti nei Comuni di Bicinicco (UD), Santa Maria La Longa (UD) e Palmanova (UD).",Atlas Solar 1 S.r.l.,Friuli-Venezia Giulia,UD,BICINICCO,Verifica di Ottemperanza (PNIEC-PNRR),13.336,Verifica di Ottemperanza (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8394,2026-04-26T15:20:04.786476
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di impianto fotovoltaico con potenza nominale 65,8028 MWp e delle relative opere di connessione, da realizzarsi in località ""Sa Tanca de su Marchesu"", Comune di Uta (CA).",AGRISARD S.r.l.,Sardegna,CA,Uta,Valutazione Impatto Ambientale (PNIEC-PNRR),65.8028,negativo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6038,2026-04-26T15:23:26.929937
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""Arya Trapani"", della potenza di 62,544 MW e delle relative opere di connessione alla RTN, da realizzarsi nei comuni di Trapani, Marsala, Salemi (TP).",Arya Solar S.r.l.,Sicilia,TP,"Trapani, Marsala, Salemi",Valutazione Impatto Ambientale (PNIEC-PNRR),62.544,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6032,2026-04-26T15:23:26.935921
"Realizzazione Impianto Agrivoltaico della potenza di 1.481,48 kW denominato “Borgo San Michele”",GREEAN DEAL SRL,Lazio,Latina,Latina,VIA,1.48148,,lazio,https://regionelazio.app.box.com/v/VIA-032-2023,2026-04-26T15:17:39.419185
"Progetto di un impianto agrivoltaico ubicato in C. da Chiarmacis SP n 113 Porpetto-Torviscosa nel Comune di Torviscosa (UD), della potenza nominale complessiva di 65671,68 kW, dotato di un sistema di accumulo dell'energia (energy storage system)",NPD Italia II S.r.l.,Friuli-Venezia Giulia,UD,TORVISCOSA,Valutazione Impatto Ambientale (PNIEC-PNRR),65.67168,Valutazione Impatto Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11856,2026-04-26T15:20:04.776221
"PROGETTO PER LA COSTRUZIONE ED ESERCIZIO DI UN IMPIANTO AGRIVOLTAICO, DENOMINATO \AGRABONA\"", DI POTENZA DI PICCO PARI A 30,004 MWP, NEL COMUNE DI LICATA (AG) C.DA AGRABONA E OPERE CONNESSE""",WILLIAM WEST 2 SRL,Sicilia,AG,"LICATA, DI LICATA",V.I.A. (art.23 - 27bis),30.004,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1135&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.407751
"PAUR per progetto 'impianto agrivoltaico Giugliano' di potenza complessiva pari a 16,396 MWp ubicato nel Comune di Giugliano in Campania (Na), con opere di connessione ubicate nel Comune di Giugliano in Campania (Na), Villa Literno (Ce) e Cancello Arnone (Ce).",SOLAR LUX SRL,Campania,,GIUGLIANO IN CAMPANIA,PAUR,16.396,,campania,http://viavas.regione.campania.it/opencms/opencms/VIAVAS/VIA_files_new/Progetti/prg_10159_prot_2026.103673_del_09-02-2026.via,2026-04-26T15:19:04.503785
"Progetto di un impianto agrivoltaico della potenza nominale di 26,48 MWp denominato ""Frongia"" e delle relative opere di connessione alla RTN da realizzarsi nei Comuni Villamassargia (CI) e Musei (CI).",PIVEXO 18 S.R.L.,Sardegna,CI,TARANTO,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),26.48,Provvedimento Unico in materia Ambientale (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11812,2026-04-26T15:20:04.774520
"Progetto realizzazione di un impianto fotovoltaico denominato ""Sardinia Agrivolt"" della potenza di 99.792 MW in comune di Uta (CA) località Su Coddu de sa Feurra.",IPC AGRIVOLT S.R.L.,Sardegna,CA,UTA,Agrivoltaico,99.792,,mase,https://va.mite.gov.it/it-IT/Oggetti/Info/8607,2026-04-26T15:20:04.779202
"REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO DENOMINATO “VIZZINI”, DI POTENZA COMPLESSIVA PARI A 8,2 MW E 9,439 MWP CON STRUTTURE INSEGUIMENTO MONOASSIALI, SITO NEL COMUNE DI VIZZINI (CT) 95049 – LOCALITÀ BIVIO MINEO",ENEL GREEN POWER SOLAR ENERGY SRL,Sicilia,CT,"VIZZINI, DI VIZZINI",V.I.A. (art.23 - 27bis),8.2,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1143&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.409361
"PROGETTO PER LA COSTRUZIONE E L’ESERCIZIO DI UN IMPIANTO FOTOVOLTAICO GRID-CONNECTED DI TIPO RETROFIT SU SUOLO DELLA POTENZA NOMINALE COMPLESSIVA PARI A 18 MWP, COSTITUITO DA DUE LOTTI, 9.015,50 KWP LOTTO 1 E 8.993,92 KWP LOTTO 2, DENOMINATO “PEDALINO”",SOLAR ITALY XVIII S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),18.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1148&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.410913
PROGETTO PER LA COSTRUZIONE E L’ESERCIZIO DI UN IMPIANTO FOTOVOLTAICO GRID-CONNECTED DI TIPO RETROFIT SU SUOLO DELLA POTENZA NOMINALE PARI A 24 MW DENOMINATO “PAVONE”,SOLAR ITALY XXII SRL,Sicilia,,,V.I.A. (art.23 - 27bis),24.0,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1152&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.412634
"IMPIANTO FOTOVOLTAICO DENOMINATO \SOLE SICILIANO 1\""""",FALCK RENEWABLES SICILIA S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1156&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.415769
"PROGETTO PER LA REALIZZAZIONE DI IMPIANTO FOTOVOLTAICO DENOMINATO “BLUSOLAR PACHINO 1” DI POTENZA NOMINALE PARI A 12,635730 MWP DC (9,90 MW AC IN IMMISSIONE) E DELLE OPERE PER LA CONNESSIONE ALLA RETE ELETTRICA, SITO IN CONTRADA CARRUBELLA ,PACHINO (SR)",BLUSOLAR PACHINO 1 S.R.L.,Sicilia,SR,,V.I.A. (art.23 - 27bis),12.63573,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1169&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.420184
"IMPIANTO FOTOVOLTAICO DENOMINATO \VALLE DI ZASA\""""",FALCK RENEWABLES SICILIA S.R.L.,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1175&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.422269
LOTTO DI IMPIANTI FOTOVOLTAICI DENOMINATO “BUCCHERI”,LIGHTSOURCE RENEWABLE ENERGY ITALY SPV 3 SRL,Sicilia,,,V.I.A. (art.23 - 27bis),,,sicilia,https://si-vvi.regione.sicilia.it/viavas/index.php/it/component/fabrik/list/30?Itemid=332&procedura___oggetto_raw=1181&limitstart30=0&resetfilters=1&fabrik_incsessionfilters=0,2026-04-26T15:12:46.425860
Impianto FER agrivoltaico - Comune di Nardò (LE) - 40.6 MW,,Puglia,LE,Nardò,Puglia VIA FER - agrivoltaico,40.6,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.721826
Impianto FER agrivoltaico - Comune di Lecce (LE) - 10.39 MW,,Puglia,LE,Lecce,Puglia VIA FER - agrivoltaico,10.39,concluso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.728882
"Progetto di un impianto agrivoltaico denominato ""RINNOSOLAR"" di potenza nominale pari a 25,025 MW, integrato con un sistema di accumulo di potenza pari a 10,35 MW, e delle relative opere di connessione alla RTN da realizzarsi nei Comuni di Surbo (LE), Lecce (LE), Campi Salentina (LE), Guagnano (LE), Cellino San Marco (BR), San Donaci (BR).",ALCE ENERGY S.R.L.,Puglia,LE,SURBO,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),25.025,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11782,2026-04-26T15:20:04.789379
"Realizzazione ed esercizio di un Impianto Agrivoltaico a terra di potenza pari a 16,978 MWp ed opere connesse in loc. Borgo Pasubio",GINEVRA ENERGIA S.R.L.,Lazio,Latina,Pontinia,VIA,16.978,,lazio,https://regionelazio.app.box.com/v/VIA-024-2025,2026-04-26T15:17:39.286104
"Impianto agrivoltaico ""Lugo"" da 69.423,2 kWp ed opere connesse",Concetto Green S.r.l.,Puglia,TA,"TARANTO, RAVENNA",Agrivoltaico,69.4232,,mase,https://va.mite.gov.it/it-IT/Oggetti/Info/11855,2026-04-26T15:20:04.791228
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico di potenza complessiva pari a 19.994,88 kW, e relative opere di connessione alla RTN, denominati ""MIADONNA"" da realizzarsi in Basilicata nei territori del comune di Craco (MT",AMBRA SOLARE 44 S.r.l.,Basilicata,MT,Craco,Valutazione Impatto Ambientale (PNIEC-PNRR),19.99488,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6033,2026-04-26T15:23:26.927408
"Verifica di Assoggettabilità a VIA (PNIEC-PNRR): Progetto di un impianto fotovoltaico denominato ""Sunny"" di potenza 57,276 MWp integrato con un impianto di accumulo BESS di potenza 12,020 MW e delle relative opere di connessione alla RTN da realizzarsi in",IPA Solar S.r.l.,Puglia,BR,Brindisi,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),57.276,Verifica di Assoggettabilità a VIA (PNIEC-PNRR),mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6021,2026-04-26T15:23:26.937799
"Valutazione Impatto Ambientale (PNIEC-PNRR): Progetto di un impianto agrivoltaico denominato ""05-12-13_Arnesano"""", di potenza pari a 50,96 MW e delle relative opere di connessione alla RTN, da realizzarsi nei Comuni di Carmiano (LE), Novoli (LE), Arnesano",SY04 S.r.l.,Puglia,LE,Carmiano,Valutazione Impatto Ambientale (PNIEC-PNRR),50.96,positivo,mase_provvedimenti,https://va.mite.gov.it/it-IT/Comunicazione/DettaglioUltimiProvvedimenti/6016,2026-04-26T15:23:26.941430
"Provvedimento Autorizzatorio Unico Regionale n° G02133 del 20/12/2026 Impianto fotovoltaico a terra della potenza di 4,0404MWp (DC) con connessione alla RTN per una potenza (AC) pari a 4,000 M W",EMERALD 02 SRL,Lazio,Latina,Santi Cosma e Damiano,VIA,4.0404,,lazio,https://regionelazio.app.box.com/v/VIA-002-2023,2026-04-26T15:17:39.428528
Impianto FER agrivoltaico - Comune di Brindisi (BR) - 14.03 MW,,Puglia,BR,Brindisi,Puglia VIA FER - agrivoltaico,14.03,Trasmesso,puglia,https://dati.puglia.it/ckan/dataset/impianti-proposti-via-fer,2026-04-26T15:12:47.730553
